101	AF+PCH	In	Inner Gimbal +ΔΘC hi from AGC	201	DF+PCL	In	Shaft +ΔΘC lo from AGC	301	DF-PCH	In	Shaft -ΔΘC hi from AGC	401	BT-PGH	In	Middle Gimbal -ΔΘG hi to AGC	501	BT-PGL	In	Middle Gimbal -ΔΘG lo to AGC	601		Spare	
102	AF+PCL	In	Inner Gimbal +ΔΘC lo from AGC	202	DF+PCH	In	Shaft +ΔΘC hi from AGC	302	DF-PCL	In	Shaft -ΔΘC lo from AGC	402	BT+PGL	In	Middle Gimbal +ΔΘG lo to AGC	502	CT+PGH	In	Outer Gimbal +ΔΘG hi to AGC	602	ET-PGL	In	Trunnion -ΔΘG lo to AGC
103	AF-PCH	In	Inner Gimbal -ΔΘC hi from AGC	203	CF-PCL	In	Outer Gimbal -ΔΘC lo from AGC	303	EF+PCH	In	Trunnion +ΔΘC hi from AGC	403	BT+PGH	In	Middle Gimbal +ΔΘG hi to AGC	503	CT+PGL	In	Outer Gimbal +ΔΘG lo to AGC	603	ET-PGH	In	Trunnion -ΔΘG hi to AGC
104	AF-PCL	In	Inner Gimbal -ΔΘC lo from AGC	204	CF-PCH	In	Outer Gimbal -ΔΘC hi from AGC	304	EF+PCL	In	Trunnion +ΔΘC lo from AGC	404	AT-PGL	In	Inner Gimbal -ΔΘG lo to AGC	504	CT-PGH	In	Outer Gimbal -ΔΘG hi to AGC	604	ET+PGL	In	Trunnion +ΔΘG lo to AGC
105	BF+PCH	In	Middle Gimbal +ΔΘC hi from AGC	205	CF+PCL	In	Outer Gimbal +ΔΘC lo from AGC	305	EF-PCH	In	Trunnion -ΔΘC hi from AGC	405	AT-PGH	In	Inner Gimbal -ΔΘG hi to AGC	505	CT-PGL	In	Outer Gimbal -ΔΘG lo to AGC	605	ET+PGH	In	Trunnion +ΔΘG hi to AGC
106	BF+PCL	In	Middle Gimbal +ΔΘC lo from AGC	206	CF+PCH	In	Outer Gimbal +ΔΘC hi from AGC	306	EF-PCL	In	Trunnion -ΔΘC lo from AGC	406	AT+PGL	In	Inner Gimbal +ΔΘG lo to AGC	506	DT+PGH	In	Shaft +ΔΘG hi to AGC	606	DT-PGL	In	Shaft -ΔΘG lo to AGC
107	BF-PCH	In	Middle Gimbal -ΔΘC hi from AGC	207	BF-PCL	In	Middle Gimbal -ΔΘC lo from AGC	307		Spare		407	AT+PGH	In	Inner Gimbal +ΔΘG hi to AGC	507	DT+PGL	In	Shaft +ΔΘG lo to AGC	607	DT-PGH	In	Shaft -ΔΘG hi to AGC
